,matchday,date,home_team,final_result,away_team
2634,2,1988-07-30,Karlsruher SC,2-2,Bayern München
2635,2,1988-07-30,Bayer 04 Leverkusen,3-1,Bor. Mönchengladbach
2636,2,1988-07-30,VfL Bochum,0-0,FC St. Pauli
2637,2,1988-07-30,1. FC Nürnberg,0-2,1. FC Köln
2638,2,1988-07-30,KFC Uerdingen,0-0,SV Waldhof Mannheim
2639,2,1988-07-30,1. FC Kaiserslautern,0-0,Werder Bremen
2640,3,1988-08-12,Borussia Dortmund,1-1,1. FC Kaiserslautern
2641,3,1988-08-13,FC St. Pauli,2-0,Eintracht Frankfurt
2642,3,1988-08-13,Stuttgarter Kickers,1-3,Karlsruher SC
2643,3,1988-08-13,Hannover 96,2-3,Hamburger SV
2644,3,1988-08-13,Werder Bremen,3-1,Bayer 04 Leverkusen
2645,3,1988-08-13,SV Waldhof Mannheim,4-1,Bor. Mönchengladbach
2646,3,1988-08-13,KFC Uerdingen,3-2,1. FC Nürnberg
2647,3,1988-08-16,1. FC Köln,1-0,VfL Bochum
2648,4,1988-08-19,Eintracht Frankfurt,1-0,1. FC Köln
2649,4,1988-08-19,Karlsruher SC,3-1,FC St. Pauli
2650,4,1988-08-20,1. FC Kaiserslautern,0-0,Hannover 96
2651,4,1988-08-20,Bayer 04 Leverkusen,2-0,Borussia Dortmund
2652,4,1988-08-20,Bor. Mönchengladbach,4-1,Werder Bremen
2653,4,1988-08-20,VfB Stuttgart,4-0,Stuttgarter Kickers
2654,4,1988-08-20,VfL Bochum,1-1,KFC Uerdingen
2655,4,1988-08-20,1. FC Nürnberg,1-0,SV Waldhof Mannheim
2656,4,1988-08-20,Hamburger SV,0-1,Bayern München
2657,5,1988-08-26,FC St. Pauli,2-1,VfB Stuttgart
2658,5,1988-08-26,KFC Uerdingen,4-1,Eintracht Frankfurt
2659,5,1988-08-27,Stuttgarter Kickers,2-0,Hamburger SV
2660,5,1988-08-27,1. FC Köln,6-1,Karlsruher SC
2661,5,1988-08-27,SV Waldhof Mannheim,1-1,Werder Bremen
2662,5,1988-08-27,1. FC Nürnberg,3-1,VfL Bochum
2663,5,1988-08-27,Hannover 96,2-2,Bayer 04 Leverkusen
2664,5,1988-08-27,Borussia Dortmund,0-0,Bor. Mönchengladbach
2665,5,1988-08-27,Bayern München,5-1,1. FC Kaiserslautern
2666,6,1988-09-02,Bor. Mönchengladbach,2-0,Hannover 96
2667,6,1988-09-03,Hamburger SV,1-1,FC St. Pauli
2668,6,1988-09-03,Bayer 04 Leverkusen,1-1,Bayern München
2669,6,1988-09-03,1. FC Kaiserslautern,6-0,Stuttgarter Kickers
2670,6,1988-09-03,VfB Stuttgart,2-0,1. FC Köln
2671,6,1988-09-03,VfL Bochum,2-2,SV Waldhof Mannheim
2672,6,1988-09-03,Eintracht Frankfurt,1-0,1. FC Nürnberg
2673,6,1988-09-03,Karlsruher SC,0-1,KFC Uerdingen
2674,7,1988-09-09,FC St. Pauli,1-1,1. FC Kaiserslautern
2675,7,1988-09-10,SV Waldhof Mannheim,0-3,Borussia Dortmund
2676,7,1988-09-10,KFC Uerdingen,0-0,VfB Stuttgart
2677,7,1988-09-10,1. FC Köln,1-2,Hamburger SV
2678,7,1988-09-10,Stuttgarter Kickers,1-3,Bayer 04 Leverkusen
2679,7,1988-09-10,Bayern München,3-0,Bor. Mönchengladbach
2680,7,1988-09-10,Hannover 96,2-2,Werder Bremen
2681,7,1988-09-10,1. FC Nürnberg,1-3,Karlsruher SC
2682,7,1988-09-10,VfL Bochum,1-0,Eintracht Frankfurt
2683,8,1988-09-13,1. FC Kaiserslautern,1-1,1. FC Köln
2684,8,1988-09-13,Bayer 04 Leverkusen,2-2,FC St. Pauli
2685,8,1988-09-13,Hamburger SV,3-0,KFC Uerdingen
2686,8,1988-09-13,VfB Stuttgart,4-0,1. FC Nürnberg
2687,8,1988-09-13,Karlsruher SC,1-3,VfL Bochum
2688,8,1988-09-13,Bor. Mönchengladbach,1-1,Stuttgarter Kickers
2689,8,1988-09-13,Borussia Dortmund,4-0,Hannover 96
2690,8,1988-09-13,Werder Bremen,2-2,Bayern München
2691,8,1988-09-13,Eintracht Frankfurt,0-0,SV Waldhof Mannheim
2692,9,1988-10-03,1. FC Nürnberg,1-4,Hamburger SV
2693,10,1988-10-07,Borussia Dortmund,1-1,Stuttgarter Kickers
2694,10,1988-10-08,1. FC Kaiserslautern,2-1,1. FC Nürnberg
2695,10,1988-10-08,Werder Bremen,0-0,FC St. Pauli
2696,10,1988-10-08,Hannover 96,0-0,Bayern München
2697,10,1988-10-08,Bor. Mönchengladbach,1-0,1. FC Köln
2698,10,1988-10-08,VfB Stuttgart,2-0,Eintracht Frankfurt
2699,10,1988-10-08,Hamburger SV,3-1,VfL Bochum
2700,10,1988-10-08,Bayer 04 Leverkusen,2-2,KFC Uerdingen
2701,10,1988-10-08,Karlsruher SC,2-1,SV Waldhof Mannheim
2702,9,1988-10-12,Bayern München,1-1,Borussia Dortmund
2703,9,1988-10-15,FC St. Pauli,1-1,Bor. Mönchengladbach
2704,11,1988-10-21,Stuttgarter Kickers,0-1,Hannover 96
2705,11,1988-10-22,Karlsruher SC,2-0,VfB Stuttgart
2706,11,1988-10-22,Eintracht Frankfurt,0-1,Hamburger SV
2707,11,1988-10-22,1. FC Nürnberg,1-1,Bayer 04 Leverkusen
2708,11,1988-10-22,KFC Uerdingen,0-0,Bor. Mönchengladbach
2709,11,1988-10-22,SV Waldhof Mannheim,0-3,Bayern München
2710,11,1988-10-22,FC St. Pauli,1-0,Borussia Dortmund
2711,11,1988-10-22,VfL Bochum,2-0,1. FC Kaiserslautern
2712,11,1988-10-22,1. FC Köln,2-0,Werder Bremen
2713,12,1988-10-27,Bayer 04 Leverkusen,1-1,VfL Bochum
2714,12,1988-10-29,Bayern München,3-0,Stuttgarter Kickers
2715,12,1988-10-29,VfB Stuttgart,2-0,SV Waldhof Mannheim
2716,12,1988-10-29,Werder Bremen,3-1,KFC Uerdingen
2717,12,1988-10-29,Borussia Dortmund,0-4,1. FC Köln
2718,12,1988-10-29,Hannover 96,2-2,FC St. Pauli
2719,12,1988-10-29,1. FC Kaiserslautern,3-0,Eintracht Frankfurt
2720,12,1988-10-29,Hamburger SV,1-1,Karlsruher SC
2721,12,1988-10-29,Bor. Mönchengladbach,1-1,1. FC Nürnberg
2722,9,1988-11-01,VfL Bochum,1-0,VfB Stuttgart
2723,13,1988-11-04,VfL Bochum,1-2,Bor. Mönchengladbach
2724,13,1988-11-05,VfB Stuttgart,4-2,Hamburger SV
2725,13,1988-11-05,1. FC Köln,1-0,Hannover 96
2726,13,1988-11-05,SV Waldhof Mannheim,2-2,Stuttgarter Kickers
2727,13,1988-11-05,KFC Uerdingen,0-0,Borussia Dortmund
2728,13,1988-11-05,1. FC Nürnberg,0-1,Werder Bremen
2729,13,1988-11-05,Eintracht Frankfurt,1-1,Bayer 04 Leverkusen
2730,13,1988-11-05,Karlsruher SC,4-1,1. FC Kaiserslautern
2731,13,1988-11-05,FC St. Pauli,0-0,Bayern München
2732,14,1988-11-12,Bor. Mönchengladbach,2-1,Eintracht Frankfurt
2733,14,1988-11-12,Stuttgarter Kickers,2-2,FC St. Pauli
2734,14,1988-11-12,Bayern München,2-0,1. FC Köln
2735,14,1988-11-12,Hannover 96,0-5,KFC Uerdingen
2736,14,1988-11-12,Borussia Dortmund,4-0,1. FC Nürnberg
2737,14,1988-11-12,Werder Bremen,2-0,VfL Bochum
2738,14,1988-11-12,1. FC Kaiserslautern,6-1,VfB Stuttgart
2739,14,1988-11-12,Bayer 04 Leverkusen,1-0,Karlsruher SC
2740,14,1988-11-12,Hamburger SV,5-1,SV Waldhof Mannheim
2741,3,1988-11-15,Bayern München,3-3,VfB Stuttgart
2742,9,1988-11-16,SV Waldhof Mannheim,1-1,Hannover 96
2743,9,1988-11-16,Eintracht Frankfurt,1-0,Karlsruher SC
2744,9,1988-11-16,Stuttgarter Kickers,0-6,Werder Bremen
2745,9,1988-11-16,1. FC Köln,3-0,Bayer 04 Leverkusen
2746,9,1988-11-16,KFC Uerdingen,3-1,1. FC Kaiserslautern
2747,15,1988-11-19,FC St. Pauli,2-1,SV Waldhof Mannheim
2748,15,1988-11-19,1. FC Köln,5-1,Stuttgarter Kickers
2749,15,1988-11-19,VfB Stuttgart,0-0,Bayer 04 Leverkusen
2750,15,1988-11-19,Eintracht Frankfurt,0-0,Werder Bremen
2751,15,1988-11-19,1. FC Kaiserslautern,0-0,Hamburger SV
2752,15,1988-11-19,1. FC Nürnberg,1-0,Hannover 96
2753,15,1988-11-19,KFC Uerdingen,1-3,Bayern München
2754,15,1988-11-19,VfL Bochum,2-2,Borussia Dortmund
2755,16,1988-11-25,Werder Bremen,3-1,Karlsruher SC
2756,16,1988-11-26,FC St. Pauli,0-1,1. FC Köln
2757,16,1988-11-26,Bor. Mönchengladbach,2-2,VfB Stuttgart
2758,16,1988-11-26,Borussia Dortmund,6-0,Eintracht Frankfurt
2759,16,1988-11-26,Bayer 04 Leverkusen,1-2,Hamburger SV
2760,16,1988-11-26,Hannover 96,3-2,VfL Bochum
2761,16,1988-11-26,Bayern München,1-0,1. FC Nürnberg
2762,16,1988-11-26,Stuttgarter Kickers,3-1,KFC Uerdingen
2763,16,1988-11-27,SV Waldhof Mannheim,0-4,1. FC Kaiserslautern
2764,6,1988-11-29,Werder Bremen,2-0,Borussia Dortmund
2765,17,1988-12-02,1. FC Kaiserslautern,0-0,Bayer 04 Leverkusen
2766,17,1988-12-02,1. FC Köln,1-0,SV Waldhof Mannheim
2767,17,1988-12-03,VfB Stuttgart,3-3,Werder Bremen
2768,17,1988-12-03,VfL Bochum,0-0,Bayern München
2769,17,1988-12-03,Karlsruher SC,0-0,Borussia Dortmund
2770,17,1988-12-03,Eintracht Frankfurt,1-0,Hannover 96
2771,17,1988-12-03,KFC Uerdingen,0-0,FC St. Pauli
2772,17,1988-12-03,1. FC Nürnberg,3-3,Stuttgarter Kickers
2773,18,1989-02-18,Bayer 04 Leverkusen,3-0,SV Waldhof Mannheim
2774,18,1989-02-18,1. FC Kaiserslautern,0-0,Bor. Mönchengladbach
2775,18,1989-02-18,Hamburger SV,2-0,Werder Bremen
2776,18,1989-02-18,KFC Uerdingen,1-1,1. FC Köln
2777,18,1989-02-18,1. FC Nürnberg,5-3,FC St. Pauli
2778,18,1989-02-18,Eintracht Frankfurt,2-2,Bayern München
2779,18,1989-02-18,VfB Stuttgart,1-3,Borussia Dortmund
2780,18,1989-02-18,Karlsruher SC,2-0,Hannover 96
2781,15,1989-02-22,Karlsruher SC,2-2,Bor. Mönchengladbach
2782,19,1989-02-25,Hannover 96,2-0,VfB Stuttgart
2783,19,1989-02-25,Werder Bremen,1-0,1. FC Kaiserslautern
2784,19,1989-02-25,Bor. Mönchengladbach,2-0,Bayer 04 Leverkusen
2785,19,1989-02-25,Borussia Dortmund,2-2,Hamburger SV
2786,19,1989-02-25,1. FC Köln,1-1,1. FC Nürnberg
2787,19,1989-02-25,Bayern München,3-2,Karlsruher SC
2788,19,1989-02-25,Stuttgarter Kickers,0-1,Eintracht Frankfurt
2789,19,1989-02-25,FC St. Pauli,1-0,VfL Bochum
2790,19,1989-02-25,SV Waldhof Mannheim,3-3,KFC Uerdingen
2791,20,1989-03-04,1. FC Kaiserslautern,3-2,Borussia Dortmund
2792,20,1989-03-04,Bor. Mönchengladbach,1-1,SV Waldhof Mannheim
2793,20,1989-03-04,VfL Bochum,1-3,1. FC Köln
2794,20,1989-03-04,Eintracht Frankfurt,1-1,FC St. Pauli
2795,20,1989-03-04,Bayer 04 Leverkusen,1-0,Werder Bremen
2796,20,1989-03-04,VfB Stuttgart,1-2,Bayern München
2797,20,1989-03-04,Hamburger SV,4-1,Hannover 96
2798,20,1989-03-04,1. FC Nürnberg,1-0,KFC Uerdingen
2799,20,1989-03-04,Karlsruher SC,1-0,Stuttgarter Kickers
2800,21,1989-03-10,Werder Bremen,2-0,Bor. Mönchengladbach
2801,21,1989-03-10,Hannover 96,0-0,1. FC Kaiserslautern
2802,21,1989-03-11,Borussia Dortmund,2-1,Bayer 04 Leverkusen
2803,21,1989-03-11,KFC Uerdingen,3-1,VfL Bochum
2804,21,1989-03-11,SV Waldhof Mannheim,2-1,1. FC Nürnberg
2805,21,1989-03-11,1. FC Köln,3-2,Eintracht Frankfurt
2806,21,1989-03-11,Stuttgarter Kickers,0-2,VfB Stuttgart
2807,21,1989-03-11,FC St. Pauli,1-0,Karlsruher SC
2808,21,1989-03-11,Bayern München,1-0,Hamburger SV
2809,22,1989-03-17,Hamburger SV,3-0,Stuttgarter Kickers
2810,22,1989-03-18,Werder Bremen,2-1,SV Waldhof Mannheim
2811,22,1989-03-18,Eintracht Frankfurt,0-2,KFC Uerdingen
2812,22,1989-03-18,Karlsruher SC,0-0,1. FC Köln
2813,22,1989-03-18,1. FC Kaiserslautern,1-1,Bayern München
2814,22,1989-03-18,Bayer 04 Leverkusen,3-1,Hannover 96
2815,22,1989-03-18,VfL Bochum,1-0,1. FC Nürnberg
2816,22,1989-03-18,Bor. Mönchengladbach,1-1,Borussia Dortmund
2817,22,1989-03-19,VfB Stuttgart,2-1,FC St. Pauli
2818,18,1989-03-21,VfL Bochum,2-1,Stuttgarter Kickers
2819,23,1989-03-23,FC St. Pauli,1-2,Hamburger SV
2820,23,1989-03-25,1. FC Köln,3-0,VfB Stuttgart
2821,23,1989-03-25,Bayern München,2-0,Bayer 04 Leverkusen
2822,23,1989-03-25,Stuttgarter Kickers,2-0,1. FC Kaiserslautern
2823,23,1989-03-25,KFC Uerdingen,0-3,Karlsruher SC
2824,23,1989-03-25,1. FC Nürnberg,1-1,Eintracht Frankfurt
2825,23,1989-03-25,SV Waldhof Mannheim,2-2,VfL Bochum
2826,23,1989-03-25,Hannover 96,0-1,Bor. Mönchengladbach
2827,23,1989-03-25,Borussia Dortmund,3-1,Werder Bremen
2828,24,1989-03-31,Eintracht Frankfurt,1-1,VfL Bochum
2829,24,1989-04-01,Bayer 04 Leverkusen,1-3,Stuttgarter Kickers
2830,24,1989-04-01,Hamburger SV,0-1,1. FC Köln
2831,24,1989-04-01,1. FC Kaiserslautern,1-0,FC St. Pauli
2832,24,1989-04-01,Borussia Dortmund,1-2,SV Waldhof Mannheim
2833,24,1989-04-01,VfB Stuttgart,2-2,KFC Uerdingen
2834,24,1989-04-01,Werder Bremen,1-0,Hannover 96
2835,24,1989-04-01,Karlsruher SC,1-1,1. FC Nürnberg
2836,24,1989-04-01,Bor. Mönchengladbach,2-1,Bayern München
2837,25,1989-04-07,FC St. Pauli,2-0,Bayer 04 Leverkusen
2838,25,1989-04-07,Hannover 96,1-5,Borussia Dortmund
2839,25,1989-04-08,VfL Bochum,2-0,Karlsruher SC
2840,25,1989-04-08,KFC Uerdingen,0-2,Hamburger SV
2841,25,1989-04-08,1. FC Nürnberg,1-0,VfB Stuttgart
2842,25,1989-04-08,SV Waldhof Mannheim,1-0,Eintracht Frankfurt
2843,25,1989-04-08,Stuttgarter Kickers,3-0,Bor. Mönchengladbach
2844,25,1989-04-08,Bayern München,0-0,Werder Bremen
2845,25,1989-04-08,1. FC Köln,2-2,1. FC Kaiserslautern
2846,26,1989-04-13,Hannover 96,0-2,SV Waldhof Mannheim
2847,26,1989-04-14,1. FC Kaiserslautern,2-0,KFC Uerdingen
2848,26,1989-04-14,VfB Stuttgart,3-1,VfL Bochum
2849,26,1989-04-15,Karlsruher SC,1-3,Eintracht Frankfurt
2850,26,1989-04-15,Bayer 04 Leverkusen,0-0,1. FC Köln
2851,26,1989-04-15,Bor. Mönchengladbach,2-2,FC St. Pauli
2852,26,1989-04-15,Werder Bremen,4-0,Stuttgarter Kickers
2853,26,1989-04-15,Borussia Dortmund,1-1,Bayern München
2854,26,1989-04-15,Hamburger SV,3-2,1. FC Nürnberg
2855,17,1989-04-20,Hamburger SV,1-2,Bor. Mönchengladbach
2856,27,1989-04-29,KFC Uerdingen,3-1,Bayer 04 Leverkusen
2857,27,1989-04-29,VfL Bochum,2-1,Hamburger SV
2858,27,1989-04-29,Eintracht Frankfurt,1-3,VfB Stuttgart
2859,27,1989-04-29,SV Waldhof Mannheim,2-0,Karlsruher SC
2860,27,1989-04-29,Bayern München,4-0,Hannover 96
2861,27,1989-04-29,1. FC Nürnberg,1-1,1. FC Kaiserslautern
2862,27,1989-04-29,FC St. Pauli,1-3,Werder Bremen
2863,27,1989-04-29,1. FC Köln,3-1,Bor. Mönchengladbach
2864,27,1989-04-29,Stuttgarter Kickers,1-2,Borussia Dortmund
2865,28,1989-05-05,Bayer 04 Leverkusen,3-0,1. FC Nürnberg
2866,28,1989-05-05,1. FC Kaiserslautern,3-0,VfL Bochum
2867,28,1989-05-06,Werder Bremen,1-2,1. FC Köln
2868,28,1989-05-06,Borussia Dortmund,0-0,FC St. Pauli
2869,28,1989-05-06,Hannover 96,3-4,Stuttgarter Kickers
2870,28,1989-05-06,VfB Stuttgart,2-0,Karlsruher SC
2871,28,1989-05-06,Bayern München,1-0,SV Waldhof Mannheim
2872,28,1989-05-06,Bor. Mönchengladbach,3-0,KFC Uerdingen
2873,28,1989-05-06,Hamburger SV,2-1,Eintracht Frankfurt
2874,29,1989-05-12,Eintracht Frankfurt,3-2,1. FC Kaiserslautern
2875,29,1989-05-12,SV Waldhof Mannheim,3-4,VfB Stuttgart
2876,29,1989-05-13,Karlsruher SC,2-2,Hamburger SV
2877,29,1989-05-13,Stuttgarter Kickers,2-0,Bayern München
2878,29,1989-05-13,FC St. Pauli,1-1,Hannover 96
2879,29,1989-05-13,1. FC Köln,2-0,Borussia Dortmund
2880,29,1989-05-13,1. FC Nürnberg,0-0,Bor. Mönchengladbach
2881,29,1989-05-13,KFC Uerdingen,2-1,Werder Bremen
2882,29,1989-05-16,VfL Bochum,2-4,Bayer 04 Leverkusen
2883,30,1989-05-19,Werder Bremen,2-1,1. FC Nürnberg
2884,30,1989-05-19,Stuttgarter Kickers,1-3,SV Waldhof Mannheim
2885,30,1989-05-20,Hannover 96,2-2,1. FC Köln
2886,30,1989-05-20,Bayern München,2-1,FC St. Pauli
2887,30,1989-05-20,Hamburger SV,2-1,VfB Stuttgart
2888,30,1989-05-20,1. FC Kaiserslautern,1-2,Karlsruher SC
2889,30,1989-05-20,Bayer 04 Leverkusen,2-2,Eintracht Frankfurt
2890,30,1989-05-20,Bor. Mönchengladbach,2-0,VfL Bochum
2891,30,1989-05-20,Borussia Dortmund,4-2,KFC Uerdingen
2892,31,1989-05-23,VfB Stuttgart,3-1,1. FC Kaiserslautern
2893,31,1989-05-25,1. FC Nürnberg,1-1,Borussia Dortmund
2894,31,1989-05-25,Eintracht Frankfurt,1-1,Bor. Mönchengladbach
2895,31,1989-05-25,FC St. Pauli,1-0,Stuttgarter Kickers
2896,31,1989-05-25,Karlsruher SC,2-3,Bayer 04 Leverkusen
2897,31,1989-05-25,SV Waldhof Mannheim,0-0,Hamburger SV
2898,31,1989-05-25,1. FC Köln,1-3,Bayern München
2899,31,1989-05-25,KFC Uerdingen,7-3,Hannover 96
2900,31,1989-05-25,VfL Bochum,0-1,Werder Bremen
2901,32,1989-06-02,SV Waldhof Mannheim,2-1,FC St. Pauli
2902,32,1989-06-03,Werder Bremen,2-0,Eintracht Frankfurt
2903,32,1989-06-03,Bor. Mönchengladbach,1-1,Karlsruher SC
2904,32,1989-06-03,Bayer 04 Leverkusen,0-0,VfB Stuttgart
2905,32,1989-06-03,Hamburger SV,1-1,1. FC Kaiserslautern
2906,32,1989-06-03,Hannover 96,2-2,1. FC Nürnberg
2907,32,1989-06-03,Bayern München,5-0,KFC Uerdingen
2908,32,1989-06-03,Borussia Dortmund,2-1,VfL Bochum
2909,32,1989-06-06,Stuttgarter Kickers,0-0,1. FC Köln
2910,33,1989-06-10,1. FC Nürnberg,2-1,Bayern München
2911,33,1989-06-10,1. FC Köln,4-2,FC St. Pauli
2912,33,1989-06-10,KFC Uerdingen,1-3,Stuttgarter Kickers
2913,33,1989-06-10,1. FC Kaiserslautern,0-3,SV Waldhof Mannheim
2914,33,1989-06-10,VfL Bochum,1-3,Hannover 96
2915,33,1989-06-10,Eintracht Frankfurt,2-1,Borussia Dortmund
2916,33,1989-06-10,Karlsruher SC,1-0,Werder Bremen
2917,33,1989-06-10,VfB Stuttgart,2-1,Bor. Mönchengladbach
2918,33,1989-06-10,Hamburger SV,1-1,Bayer 04 Leverkusen
2919,34,1989-06-17,SV Waldhof Mannheim,2-1,1. FC Köln
2920,34,1989-06-17,Bor. Mönchengladbach,0-4,Hamburger SV
2921,34,1989-06-17,Werder Bremen,3-0,VfB Stuttgart
2922,34,1989-06-17,Borussia Dortmund,3-2,Karlsruher SC
2923,34,1989-06-17,Hannover 96,1-1,Eintracht Frankfurt
2924,34,1989-06-17,Bayern München,5-0,VfL Bochum
2925,34,1989-06-17,Stuttgarter Kickers,1-0,1. FC Nürnberg
2926,34,1989-06-17,FC St. Pauli,5-1,KFC Uerdingen
2927,34,1989-06-17,Bayer 04 Leverkusen,0-1,1. FC Kaiserslautern
2928,1,1984-08-24,Werder Bremen,1-0,KFC Uerdingen
2929,1,1984-08-24,VfL Bochum,3-3,Eintracht Frankfurt
2930,1,1984-08-24,Bor. Mönchengladbach,3-1,FC Schalke 04
2931,1,1984-08-25,Eintracht Braunschweig,1-3,1. FC Köln
2932,1,1984-08-25,Arminia Bielefeld,1-3,Bayern München
2933,1,1984-08-25,1. FC Kaiserslautern,2-1,VfB Stuttgart
2934,1,1984-08-25,Karlsruher SC,3-2,SV Waldhof Mannheim
2935,1,1984-08-25,Bayer 04 Leverkusen,4-3,Fortuna Düsseldorf
2936,1,1984-08-25,Borussia Dortmund,1-2,Hamburger SV
2937,2,1984-08-28,Eintracht Frankfurt,2-0,Bayer 04 Leverkusen
2938,2,1984-08-28,VfB Stuttgart,6-1,Eintracht Braunschweig
2939,2,1984-08-28,KFC Uerdingen,2-1,Borussia Dortmund
2940,2,1984-08-29,SV Waldhof Mannheim,1-1,1. FC Kaiserslautern
2941,2,1984-08-29,FC Schalke 04,2-3,VfL Bochum
2942,2,1984-08-29,Fortuna Düsseldorf,2-2,Karlsruher SC
2943,2,1984-08-29,Bayern München,4-2,Werder Bremen
2944,2,1984-08-29,Hamburger SV,1-1,Bor. Mönchengladbach
2945,2,1984-09-04,1. FC Köln,1-1,Arminia Bielefeld
2946,6,1984-09-05,VfB Stuttgart,1-3,Bayern München
2947,3,1984-09-07,Bayer 04 Leverkusen,2-2,FC Schalke 04
2948,3,1984-09-07,Borussia Dortmund,2-3,Bor. Mönchengladbach
2949,3,1984-09-07,Karlsruher SC,2-2,Eintracht Frankfurt
2950,3,1984-09-08,Eintracht Braunschweig,0-1,SV Waldhof Mannheim
2951,3,1984-09-08,Werder Bremen,6-2,1. FC Köln
2952,3,1984-09-08,1. FC Kaiserslautern,3-1,Fortuna Düsseldorf
2953,3,1984-09-08,VfL Bochum,0-0,Hamburger SV
2954,3,1984-09-08,KFC Uerdingen,1-3,Bayern München
2955,3,1984-09-08,Arminia Bielefeld,2-7,VfB Stuttgart
2956,4,1984-09-15,Eintracht Frankfurt,1-1,1. FC Kaiserslautern
2957,4,1984-09-15,Fortuna Düsseldorf,4-1,Eintracht Braunschweig
2958,4,1984-09-15,SV Waldhof Mannheim,0-0,Arminia Bielefeld
2959,4,1984-09-15,VfB Stuttgart,1-3,Werder Bremen
2960,4,1984-09-15,1. FC Köln,1-5,KFC Uerdingen
2961,4,1984-09-15,Hamburger SV,1-1,Bayer 04 Leverkusen
2962,4,1984-09-15,Bor. Mönchengladbach,4-3,VfL Bochum
2963,4,1984-09-15,FC Schalke 04,3-1,Karlsruher SC
2964,4,1984-09-15,Bayern München,1-0,Borussia Dortmund
2965,5,1984-09-21,1. FC Kaiserslautern,2-2,FC Schalke 04
2966,5,1984-09-21,Borussia Dortmund,3-0,VfL Bochum
2967,5,1984-09-21,Eintracht Braunschweig,5-0,Eintracht Frankfurt
2968,5,1984-09-22,Arminia Bielefeld,1-1,Fortuna Düsseldorf
2969,5,1984-09-22,Karlsruher SC,1-1,Hamburger SV
2970,5,1984-09-22,Bayer 04 Leverkusen,3-2,Bor. Mönchengladbach
2971,5,1984-09-22,Bayern München,2-0,1. FC Köln
2972,5,1984-09-22,KFC Uerdingen,3-2,VfB Stuttgart
2973,5,1984-09-22,Werder Bremen,1-1,SV Waldhof Mannheim
2974,6,1984-09-28,Eintracht Frankfurt,3-0,Arminia Bielefeld
2975,6,1984-09-28,FC Schalke 04,3-2,Eintracht Braunschweig
2976,6,1984-09-29,Fortuna Düsseldorf,3-2,Werder Bremen
2977,6,1984-09-29,Hamburger SV,3-2,1. FC Kaiserslautern
2978,6,1984-09-29,SV Waldhof Mannheim,2-1,KFC Uerdingen
2979,6,1984-09-29,Bor. Mönchengladbach,3-3,Karlsruher SC
2980,6,1984-09-29,VfL Bochum,0-0,Bayer 04 Leverkusen
2981,6,1984-09-29,1. FC Köln,6-1,Borussia Dortmund
2982,7,1984-10-05,Borussia Dortmund,2-1,Bayer 04 Leverkusen
2983,7,1984-10-05,KFC Uerdingen,5-2,Fortuna Düsseldorf
2984,7,1984-10-05,Karlsruher SC,1-1,VfL Bochum
2985,7,1984-10-06,Werder Bremen,3-3,Eintracht Frankfurt
2986,7,1984-10-06,Arminia Bielefeld,2-1,FC Schalke 04
2987,7,1984-10-06,Eintracht Braunschweig,3-1,Hamburger SV
2988,7,1984-10-06,1. FC Kaiserslautern,2-0,Bor. Mönchengladbach
2989,7,1984-10-06,1. FC Köln,1-1,VfB Stuttgart
2990,7,1984-10-06,Bayern München,1-2,SV Waldhof Mannheim
2991,8,1984-10-10,Hamburger SV,4-0,Arminia Bielefeld
2992,8,1984-10-10,Eintracht Frankfurt,3-2,KFC Uerdingen
2993,8,1984-10-10,Fortuna Düsseldorf,0-2,Bayern München
2994,8,1984-10-10,VfB Stuttgart,2-0,Borussia Dortmund
2995,8,1984-10-10,Bayer 04 Leverkusen,4-1,Karlsruher SC
2996,8,1984-10-10,FC Schalke 04,2-2,Werder Bremen
2997,8,1984-10-11,Bor. Mönchengladbach,10-0,Eintracht Braunschweig
2998,9,1984-10-19,1. FC Kaiserslautern,3-3,Bayer 04 Leverkusen
2999,9,1984-10-19,KFC Uerdingen,1-1,FC Schalke 04
3000,9,1984-10-19,Eintracht Braunschweig,1-3,VfL Bochum
3001,9,1984-10-20,VfB Stuttgart,3-0,SV Waldhof Mannheim
3002,9,1984-10-20,Borussia Dortmund,0-2,Karlsruher SC
3003,9,1984-10-20,Werder Bremen,5-2,Hamburger SV
3004,9,1984-10-20,Bayern München,4-2,Eintracht Frankfurt
3005,9,1984-10-20,1. FC Köln,4-2,Fortuna Düsseldorf
3006,9,1984-10-20,Arminia Bielefeld,3-3,Bor. Mönchengladbach
3007,8,1984-10-23,VfL Bochum,3-0,1. FC Kaiserslautern
3008,10,1984-10-26,VfL Bochum,1-1,Arminia Bielefeld
3009,10,1984-10-26,Karlsruher SC,0-0,1. FC Kaiserslautern
3010,10,1984-10-27,Hamburger SV,1-1,KFC Uerdingen
3011,10,1984-10-27,SV Waldhof Mannheim,1-2,Borussia Dortmund
3012,10,1984-10-27,Eintracht Frankfurt,1-4,1. FC Köln
3013,10,1984-10-27,FC Schalke 04,1-1,Bayern München
3014,10,1984-10-27,Fortuna Düsseldorf,2-2,VfB Stuttgart
3015,10,1984-10-27,Bayer 04 Leverkusen,0-3,Eintracht Braunschweig
3016,10,1984-10-27,Bor. Mönchengladbach,1-1,Werder Bremen
3017,11,1984-11-02,KFC Uerdingen,3-2,Bor. Mönchengladbach
3018,11,1984-11-02,Werder Bremen,2-2,VfL Bochum
