matchday,date,home_team,final_result,away_team,home_goals,away_goals,winner,home_wins_last_5,home_draws_last_5,home_losses_last_5,away_wins_last_5,away_draws_last_5,away_losses_last_5,home_form,away_form,home_goals_last_5,home_conceded_last_5,away_goals_last_5,away_conceded_last_5,home_goal_diff_last_5,away_goal_diff_last_5,goal_diff_last_5,home_h2h_wins,away_h2h_wins,h2h_draws,home_h2h_goals_scored,away_h2h_goals_scored,home_off,home_def,away_off,away_def,home_goals_exp,away_goals_exp
9,1963-10-26,2,3-3,34,3,3,1,3,1,1,2,2,1,10,8,4,6,5,7,-2,-2,0,4,0,1,18,9,-2.454922653481073,0.2543380673442875,-0.1256391036972028,-2.9406034078193763,2.707439432745665,1.829899229658568
9,1963-10-26,34,0-0,50,0,0,1,1,2,2,2,1,2,5,7,0,0,4,10,0,-6,6,1,0,0,3,2,0.8637748482699454,-0.5930296607187064,1.005538304872634,-3.063286756072115,2.818551829166258,1.847069705059328
9,1963-10-26,22,2-3,56,2,3,2,2,2,1,1,2,2,8,5,8,14,5,11,-6,-6,0,6,4,3,17,14,-0.7537922972273026,-0.0877185030437237,-2.0629009935876867,0.4739067153964567,2.884708452998037,1.694580976552075
9,1963-10-26,52,2-1,14,2,1,0,2,2,1,5,0,0,8,15,17,5,10,10,12,0,12,4,5,2,12,17,-1.7985403359028718,-1.2538537321520544,-1.886674428567085,-0.5424078968950268,2.813658282403537,1.6373538873398106
9,1963-10-26,26,2-1,17,2,1,0,3,0,2,3,1,1,9,10,1,8,0,0,-7,0,-7,3,1,1,13,8,2.9979464862614478,-1.2150814628429385,-1.3826878626068668,-3.82958969583402,2.865745191234594,1.668609321408932
10,1963-11-08,16,1-1,2,1,1,1,2,1,2,3,1,1,7,10,3,11,1,11,-8,-10,2,4,2,2,9,8,-1.9134828523478564,-0.9012265597915868,1.0272287225456889,-7.359155656084294,2.571574409333007,1.8297363963774176
10,1963-11-09,31,4-2,35,4,2,0,2,0,3,1,2,2,6,5,6,5,0,0,1,0,1,0,0,0,0,0,-5.0913525275789375,1.951984179925679,-3.191523887220372,-4.865100567935718,2.5475445739618734,1.7480984221687923
10,1963-11-09,13,3-1,3,3,1,0,4,0,1,1,0,4,12,3,6,2,0,13,4,-13,17,6,7,2,24,23,1.885257380013708,-0.3389974462570466,1.038187179245467,-0.1689113383622302,2.9529233987419103,1.8644812709893683
10,1963-11-09,17,4-2,23,4,2,0,3,1,1,2,1,2,10,7,7,4,2,9,3,-7,10,8,2,2,22,10,-1.6838215065654203,-0.6792022385169922,1.661702722731857,-3.151871059646834,2.726975096319579,1.881753146232685
10,1963-11-09,33,4-0,27,4,0,0,2,3,0,3,0,2,9,9,6,10,0,0,-4,0,-4,4,0,3,15,6,-0.7929619178865749,-0.6344719340314182,-0.1752069886271421,-4.675022635033141,2.7049090409755285,1.7736183059903172
